AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
37.41,44.99,69.69,71.05,23.8,77.8,34.48,40.34,152.74,29.12,130.76,21.15,58.72,41.64,28.21,70.25,87.41,35.07,26.33,18.58,15.48,62.06,50.85,31.44,72.61,18.06,29.56,29.13,51.41,61.94,
37.42,44.6,69.54,70.37,23.82,78.66,34.21,36.31,153.19,28.45,130.37,20.87,59.35,41.08,28.19,70.45,87.21,34.82,26.16,18.27,16.34,59.94,50.12,32.42,72.03,18.25,29.54,28.82,51.29,62.72,
37.57,44.11,69.25,71.12,24.14,79.02,34.83,35.3,156.41,28.72,131.27,20.73,59.74,41.29,28.28,70.69,88,35.19,25.73,18.5,16.44,59.55,50.68,32.91,72.67,18.11,29.4,28.5,51.6,62.72,
37.39,43.22,68.71,71.96,24.17,79.07,34.98,35.97,155.92,28.71,131.83,20.67,59.76,41.27,28.19,70.45,87.72,35.07,25.37,18.52,16.19,59.86,50.67,33.42,73.2,17.88,29.55,28.19,51.62,62.71,
37.16,43.5,68.7,71.56,24.07,78.73,35,36.23,155.18,28.68,130.14,20.65,59.96,40.44,28.38,71.74,87.29,34.98,25.55,18.49,16.24,60.02,50.27,33.45,72.73,18.04,29.55,28,51.79,61.97,
37.39,43.75,68.99,72.07,24.77,79.29,35.16,37.03,155.4,28.7,132,20.65,60.05,39.82,28.56,72.92,88.03,35.36,25.61,18.53,16.42,60.38,50.61,33.49,73.35,18.68,29.86,28.35,52.06,62.45,
37.06,44.09,68.62,71.42,24.31,79.04,35.29,37.01,153.9,28.24,131.84,19.82,59.43,39.17,28.49,72.84,87.11,35.77,25.07,18.48,16.57,60.78,49.4,33.33,73.39,18.82,30.02,28.22,52.22,61.93,
35.74,42.96,65.6,68.71,23.73,77.13,34.22,35.86,149.25,27.71,129.83,19.43,58.5,37.77,28.02,71.57,84.1,34.89,24.86,18.02,16,60.27,48.96,31.99,71.27,18.38,29.56,27.73,51.02,60.39,
35.97,42.15,64.7,67.5,21.36,77.07,33.99,35.57,149.42,27.61,128.3,19.45,58.52,37.81,27.85,72.06,84.01,35.04,24.49,17.88,16.2,59.99,49.63,32.13,70.58,18.25,30.32,28.03,50.43,60.23,
35.59,41.73,64.84,68.01,21.36,77.4,33.68,35.83,148.08,27.31,127.87,19.15,58.15,37.5,27.87,71.89,84.01,35,24.4,17.65,16.08,59.82,50.14,32.03,70.7,18.06,30.03,28.17,50.4,59.91,
