AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
53.51,43.48,58.25,70.55,15.19,89.88,29,30.63,90.08,31.59,173.29,20.62,62.08,28.65,32.71,86.02,70.93,31.57,24.53,20.76,17.33,62.84,46.8,42.92,69.36,21.07,36.34,32.47,51.96,71.15,
53.21,43.43,59.14,72.54,15.58,91.48,29.86,32.47,94.58,32.47,174.74,21.22,62.17,30.26,32.62,86.48,72.01,31.35,25.34,21.43,17.59,63.37,48.08,42.78,69.54,21.2,36.4,32.85,52.88,72.83,
54.04,43.41,59.96,74.26,16.16,94.66,31.51,34.89,94.29,32.83,176.85,21.85,62.35,30.84,32.77,85.83,72.53,31.46,25.89,21.95,17.98,63.34,49.57,44.45,69.61,21.25,35.77,33.03,52.65,73.95,
53.91,44.43,61.48,77.09,16.75,94.61,32.03,36.06,97.93,33.38,181.69,22.03,62.81,32.38,32.7,87.11,74.65,31.42,26.34,22.32,18.23,63.61,50.19,44.94,70.98,21.78,35.91,33.37,52.75,73.89,
52.83,43.43,61.81,75.52,16.66,94.4,31.7,35.26,92.69,33.92,182.39,22.29,63.13,30.7,32.95,87.2,73.82,31.61,26.25,22.04,18.44,63.91,49,44.89,71.46,21.56,36.16,33.41,53.7,73.56,
55.54,45.45,64.03,79.13,17.09,98.2,33,37.3,96.14,34.66,186.62,22.88,64.43,32.3,33.45,88.51,76.72,32.35,26.94,22.68,18.92,64.8,51.1,46.52,73.75,22.31,36.9,33.67,54.81,76.28,
57.18,45.76,63.97,80.66,16.99,97.6,32.61,37.6,96.7,34.71,185,22.99,63.96,32.3,33.4,89.34,76.42,31.93,27,22.46,18.85,64.57,50.42,46.64,73.74,22.63,36.5,33.79,54.72,76.27,
57.46,47.03,64.32,81.7,17.25,97.78,33.76,38.86,99.11,34.72,186.12,23.12,64.33,33.2,33.74,88.36,78.36,32.57,26.96,22.95,18.82,64.89,51.44,46.38,74.24,22.79,36.67,33.15,55.2,77.16,
58.35,46.33,63.53,81.44,17.42,97.79,33.55,37.98,96.15,34.41,186.82,23.39,64.23,31.6,33.7,89.31,77.8,32.7,27.18,23.05,18.76,64.65,50.45,46.53,73.54,23.15,37.02,32.96,55.02,76.37,
60.29,46.1,63.89,84.09,17.55,100.47,34.47,39.42,96.73,35.05,190.53,23.5,64.72,31.89,33.92,89.94,78.89,32.98,27.27,23.24,19.04,64.89,51.27,47.22,74.64,23.48,37.33,33,55.46,78.11,
60,45.12,61.78,81.52,17.17,98.61,33.39,37.78,96.9,34.65,186.59,23.28,63.79,31.04,33.5,88.66,75.88,32.31,26.98,22.76,18.69,64.26,49.58,46.6,72.12,22.8,36.94,33.89,54.78,77.47,
60.32,46.68,63.47,84.72,17.51,102.95,33.94,39.55,102.25,35.95,178.9,23.4,64.42,32.87,33.37,89.64,78.36,32.79,27.31,22.87,18.97,64.92,51.46,45.34,74.12,23.48,37.24,33.83,55.89,78.89,
56.95,46.13,63.11,83.56,17.16,102.24,33.61,37.87,100.79,35.4,177.39,24.24,62.64,32.25,33.52,89.62,77.7,32.54,27.13,22.82,18.81,64.75,54.39,46.45,73.26,22.52,37.05,33.75,56.25,78.43,
56.47,46.19,62.49,84.26,17.19,103.39,33.84,37.64,100.86,35.73,177.25,23.61,62.53,33.13,33.56,89.01,78.68,32.8,27.04,22.97,18.73,65.09,54.53,46.88,74.25,22.84,37.1,33.59,56.37,78.71,
56.12,48.46,64.59,87.39,17.38,105.53,35.16,38.79,102.09,36.86,181.63,24.03,63.78,33.42,34.1,92.32,80.48,33.35,27.16,23.59,19.06,66.26,57.35,47.92,75.56,23.36,37.42,34.14,56.92,80.13,
57.97,49.92,64.75,91.77,17.54,106.27,35.37,39.73,103.98,36.7,182.25,24.59,64.73,34.57,33.94,92.01,82.18,33.53,27.19,23.77,19.36,65.37,57.62,49.03,76.65,23.55,36.93,34.31,56.78,80.17,
56.82,49.42,63.72,89.89,17.62,104.5,34.51,37.72,100.44,36.04,180.36,24.63,63.69,33.49,33.48,91.77,77.04,32.91,26.81,23.44,18.87,64.51,56.34,48.76,75.28,22.67,36.19,33.82,56.71,79.44,
57.23,50.45,66.56,91.57,17.61,106.77,35.05,38.29,106.33,36.55,181.97,24.7,64.49,34.18,33.74,91.78,77.02,33.54,26.59,23.55,19.28,64.95,57.5,48.76,76.06,23.01,36.81,33.25,57.37,81.07,
57.81,51.81,67.68,96.27,18.44,109.26,36.15,41.61,114.91,37.37,186.34,25.13,65.3,36.67,34.28,93.51,81.41,34.31,27.25,23.96,19.67,65.12,58.79,49.18,79.3,23.6,37.66,34.13,57.81,81.88,
57.85,52.1,68.17,96.85,18.56,109.64,36.21,41.65,115.86,36.12,187.45,24.98,65.6,36.69,34.47,93.29,81,35.11,26.98,24.19,19.82,64.73,59.48,48.85,79.51,23.78,37.63,33.81,57.15,81.48,
57.83,50.62,65.79,94.46,18.53,105.05,34.88,39.7,109.55,35.8,184.63,24.54,64.39,34.76,34.16,92.85,79.02,34.5,26.63,24.09,19.26,63.99,58.35,47.99,77.98,23.32,36.98,33.2,56.72,78.09,
