Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/7/1,91.03,94.05,180.32,126.06,46.06,87.62,113.01,52.32,197.57,248.15,118.54,58.81,140.38,93.26,44.82,184.66,155.43,78.12,204.7,97.4,33.74,119.98,112.5,297.73,61.610001,193.78,54.67,40.88,119.69,43.71
2020/7/2,91.03,94.33,180.81,127.72,45.63,88.31,112.18,53.72,197.4,248.5,119.7,59.13,140.97,92.66,44.88,183.52,157.04,78.78,206.26,98.43,34.51,120.88,112.46,298.26,61.790001,195.67,54.79,41.98,119.21,44.08
2020/7/6,93.46,96.58,187.91,129.43,46.42,88.57,114.43,54.61,207.36,249.55,120.19,59.54,142.98,95,45.23,188.5,158.1,79.58,210.7,99.95,34.51,121.63,114.57,302.81,63.32,197.76,55.24,43.16,118.89,44.39
2020/7/7,93.17,93.01,178.88,127.2,45.63,86.31,113.63,53.61,199.36,247.35,117.58,58.31,142.85,92.32,45.21,185.82,154.82,78.72,208.25,97.07,34.03,122.22,112.48,296.65,61.009998,194.2,55.04,42.22,126.95,43.24
2020/7/8,95.34,92.9,180.08,128.13,45.81,86.35,116.66,52.25,202.25,249.17,117.71,58.61,143.27,93.3,45.07,185.85,154.58,77.92,212.83,98.84,33.75,122.89,113.18,298.36,61.009998,195.07,55.38,42.29,124.44,43.14
2020/7/9,95.68,90.57,173.28,125.73,46.7,82.74,116.81,50.91,196.83,247.96,115.71,58.42,142.49,91.28,43.91,184.33,151.45,76.69,214.32,96.99,33.46,122.48,110.04,291.16,58.110001,192.21,53.94,39.01,127.75,41.36
2020/7/10,95.92,93.23,178.44,128.01,46.66,85.23,119.34,52.24,205.56,250.11,118.35,59.53,142.37,96.27,45.15,184.88,152.85,76.73,213.67,97.99,33.83,123.89,113.84,291.23,59.639999,192.55,54.49,40.12,130.68,42.65
2020/7/13,95.48,93.56,175.65,130.57,45.93,85.4,116.22,52.52,208.88,249.62,119.2,58.58,145.21,97.65,45.25,184.92,154.8,77.35,207.07,96.46,35.21,124.05,114.24,299.71,59.349998,189.02,54.45,39.58,129.52,42.66
2020/7/14,97.06,94.84,179.96,136.88,46.26,88.35,118.66,53.65,214.01,257.79,120.6,58.98,147.92,98.21,45.87,190.72,158.54,78.25,208.35,96.76,35.23,125.09,118.55,308.52,60.470001,193.33,55.44,40.11,132.01,44.07
2020/7/15,97.73,97.36,187.94,138.36,46.4,88.89,120.9,54.86,216.9,257.8,123,59.03,148.26,99.73,46.4,191.77,159.33,79.44,208.04,98.54,35.72,124.5,119.14,304.07,62.939999,196.55,55.06,40.68,132,44.63
