Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/3/2,74.7,113.87,289.27,127.6,41.17,96.59,119.98,44.95,209.47,229.94,134.3,58.18,140.02,121.52,55.92,202.55,153.02,81.37,172.79,92.68,34.88,119.56,127.68,273.11,84.373817,192.33,57.32,48.11,115.88,53.88
2020/3/3,72.33,108.01,280.62,124.38,40.04,94.39,116.45,43.64,203.43,227.94,128.9,55.97,135.59,116.96,56.06,199.51,145.24,79.13,164.51,90.93,34.3,118.17,125.31,261.4,83.404655,185.73,55.7,46.12,112.91,51.3
2020/3/4,75.69,115.7,283.12,127.4,41.39,98.53,119.18,44.16,208.74,241.08,134.22,58.68,143.48,119.85,58.92,207.02,153.98,82.97,170.55,93.79,36.4,124.5,131.53,289.42,87.501572,194.29,58.12,48.69,116.77,52.42
2020/3/5,73.23,110.94,260.37,121.97,39.57,97.19,113.98,42.42,198.79,234.81,129.55,56.96,142.01,113.97,56.74,198.32,151.41,81.58,166.27,90.58,35.46,121.63,128.02,282.96,79.57206,186.96,57.16,48.78,115.92,50.11
2020/3/6,72.26,108.24,262.33,121.41,39.68,95.32,115.27,40.5,192.85,228.51,127.73,55.77,142.03,108.08,55.26,198.86,153.65,82.2,161.57,88.36,35.02,121.66,124.84,283.87,79.597229,184.36,56.87,50.51,117.23,47.69
2020/3/9,66.54,98.29,227.17,104.07,37.96,80.67,104.35,35.15,172.81,210.46,117.81,50.85,136.44,93.44,51.86,186.86,144.06,78.96,150.62,84.11,33.76,116.06,116.2,273.44,72.599121,171.13,55.83,48.44,117.16,41.86
2020/3/10,71.33,103.3,231.01,106.49,40.08,84.98,111.46,38.12,184.35,225.7,124.77,53.98,141.64,100.7,53.66,199.86,153.3,82.02,160.92,88.3,34.59,120.55,119.57,280,75.122719,182.6,56.52,49.16,119.79,43.41
2020/3/11,68.86,95.38,189.08,100.69,37.05,83.03,105.51,36.66,171.89,212.89,117.97,51.66,131.8,95.96,52.21,188.25,147.24,79.25,153.63,84,32.17,111.59,112.6,277.78,67.658905,172.95,54.83,46.07,114.43,41.98
2020/3/12,62.06,83.53,154.84,92.26,33.2,76.26,91.81,33.28,150.68,190.59,102.81,45.54,125.41,88.05,47.16,170.13,133.58,74.45,139.06,74.2,30.02,101.84,102.18,250.41,64.505981,160.08,51.2,41.02,104.05,37.18
2020/3/13,69.49,99.6,170.2,99.64,37.64,83.42,102.52,37.1,177.17,205.67,107.95,54.43,134.29,103.91,48.47,177.13,141.68,76.75,158.83,75.58,32.71,114.07,107.45,272.04,66.331024,175.83,54.17,46.19,114.1,38.12
2020/3/16,60.55,85.87,129.61,93.41,33.71,69.7,95.01,34.25,154.66,164.96,99.08,44.61,127.13,88.36,45.26,149.01,130.91,69.92,135.42,66.79,30.18,108.5,85.1,225.04,57.22467,152.01,50.99,45.08,106.76,34.49
2020/3/17,63.22,86.58,124.14,100.2,35.5,70.69,93.53,36.01,158.67,173.64,106.65,50.08,136.59,93.76,47.18,147.62,134.44,74.48,146.57,69.84,32.16,118.24,96.41,244.22,58.426685,157.89,54.31,49.6,119.26,36.81
2020/3/18,61.67,73.75,101.89,100.12,37.12,55.05,88.8,32.06,140.02,155.63,103.55,47.61,134.96,83.89,44.85,137.3,137.02,71.63,140.4,68.04,32.36,117.45,81.69,217.06,49.968533,148.48,54.32,52.81,122.58,33.12
2020/3/19,61.2,77.07,97.71,103.01,37.71,57.39,94.93,31.66,149.49,161.13,100.34,45.94,127.05,85.3,41.83,149.5,137.51,70.73,142.71,70.34,30.42,110.83,86.07,219.8,52.712399,152.25,53.62,48.55,119.45,34.43
2020/3/20,57.31,74.12,95.01,95.5,35.6,59.39,85.98,31.47,138.41,152.15,95.39,45.83,119.89,83.5,38.3,148.49,124.89,71.36,137.35,67.45,29.01,102.43,89.51,206.59,51.938328,146.83,51.8,46.42,113.97,32.74
2020/3/23,56.09,68.96,105.62,91.85,34.6,54.22,85.76,28.46,134.97,162.39,94.77,49.58,111.14,79.03,37.56,137.1,117.87,66.4,135.98,62.8,28.49,97.7,88.36,194.86,47.16803,135.74,50.31,43.61,114.28,31.45
2020/3/24,61.72,84.05,127.68,101.34,38.6,66.55,98.12,32.46,153.6,184.72,105.48,52.4,119.18,88.43,39.45,161.95,132.72,69.05,148.34,72.33,29.7,103.27,93.74,219.8,54.600376,154.53,49.99,45.25,115.03,35.44
2020/3/25,61.38,90.17,158.73,104.67,37.67,69.27,100.73,33.23,155.13,181.76,105.85,51.26,119.4,91.73,41.61,162.98,131.54,68.22,146.92,79.01,29.75,100.92,92.18,234.49,60.534927,161.78,49.94,41.44,109.4,37.29
2020/3/26,64.61,93.29,180.55,110.5,40.58,76.38,105.36,35.95,165.79,195.21,112.89,55.54,126.57,98.12,44.29,167.35,136.18,73.53,156.11,84.3,31.75,107.38,98.67,255.39,65.852737,168.88,53.54,45.67,109.82,38.82
2020/3/27,61.94,88.73,162,105.44,38.82,68.78,96.4,33.83,158.34,190.55,108.03,52.37,123.16,91.13,42.81,164.01,133.24,71.73,149.7,83.23,30.9,110.17,99.95,242.45,61.13908,161.56,52.77,44,109.58,36.95
2020/3/30,63.7,90.27,152.28,111.71,40.32,71.95,99.8,33.62,159.62,196.1,112.93,55.49,133.01,93.5,45,168.13,137.74,76.95,160.23,85.38,32.67,115,102.59,251.28,61.98238,165.57,54.77,45.16,115.19,37.5
2020/3/31,63.57,85.61,149.14,116.04,39.31,72.46,96.6,34.1,154.59,186.71,110.93,54.12,131.13,90.03,44.25,165.35,136.51,76.94,157.71,82.74,32.64,110,99.35,249.38,59.36438,161.12,53.73,45.75,113.62,37.97
