AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM,
71.65,82.86,123.08,92.42,21.55,111.14,69.99,63.64,159.82,75.09,172.9,23.95,86.78,54.31,37.2,93.02,123.9,52.08,36.48,35.44,30.6,75.7,80.26,70.74,110.16,53.37,46.41,55.57,72.66,90.05,
72.68,84,122.04,92.5,21.8,110.83,71.05,64.03,161.76,74.97,172.84,23.82,86.62,54.95,37.48,93.09,126.72,53.51,36.35,35.26,31.44,76.09,80.35,70.51,109.1,53.64,46.82,55.95,72.73,90.02,
73.23,83.72,121.4,91.96,21.98,109.52,71.76,63.87,160.42,75.26,174.24,23.52,87.28,55.21,37.61,93.58,127.36,53.53,35.82,35.3,30.65,76.45,80.44,70.82,107.91,53.9,46.69,57.85,72.87,89.58,
73.22,85.69,122.67,93.83,22.49,111.27,75.56,64.92,161.75,76.16,174.67,23.99,88.75,56.48,38.03,94.94,128.9,53.77,36.18,35.76,30.84,76.9,80.69,70.87,109.45,54.75,46.68,59.22,72.82,89.8,
74.24,87,127.02,94.87,22.67,112.05,75.67,64.94,161.93,76.45,177.25,24.21,90.04,56.62,37.95,95.92,130.33,54.77,36.56,36.35,31.22,77.31,80.88,71.36,110.73,55.45,46.81,60.96,73.75,90.58,
75.57,88.34,127.16,94.5,22.83,111.69,77.06,65.28,161,76.41,177.14,24.29,91.07,56.74,38.57,94.86,129.7,54.89,36.8,36.34,31.47,78.03,82.35,69.74,111.6,55.14,46.91,60.65,73.76,89.52,
76.57,88.58,130.16,94.96,22.71,113.58,77.79,66.7,164.39,76.7,179.7,24.47,92.97,57.43,38.64,95.34,130.98,55.7,37.17,36.99,31.88,78.84,83.21,70.62,112.96,55.58,47.21,64.2,74.8,90.84,
76.56,89.02,128.13,96.17,22.85,112.03,77.91,66.04,163.5,77.28,180.24,24.55,92.42,57.52,38.51,94.89,130.44,55,37.47,37.06,31.61,77.49,82.26,70.24,112.78,56.04,47.37,65.42,74.96,91.08,
77.78,88.9,129.5,96.11,22.27,112.51,77.9,65.94,164.06,77.59,181.84,24.7,92.56,58.03,38.65,95.46,130.14,55.1,37.61,37.44,31.7,77.8,82.88,71.21,113.3,56.01,47.31,66.39,75.36,91.43,
77.71,89,130.16,96.55,22.56,113.48,79.23,66.52,163.72,77.93,183.69,24.76,92.76,58.15,38.93,95.78,132.12,55.44,37.62,37.53,31.94,79.4,84.02,73.52,113.87,56.5,46.51,64.78,75.79,94.11,
