Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,
2020/2/3,77.17,131,316,129.77,46.53,106.28,141.32,51.81,239.01,231.54,146.27,64.42,150.17,133.37,58.58,215.18,156.59,87.34,174.38,99.27,37.51,125.11,133.61,274.02,200.81,58.05,50.95,114.27,60.73,
2020/2/4,79.71,131.85,317.94,133.51,47.62,106.85,144.73,52.7,241.94,235,149.11,65.46,151.6,135.29,58.84,214.62,157.24,88.36,180.12,101.38,37.69,125.66,132.58,280.84,203.56,58.29,52.34,115.27,59.97,
2020/2/5,80.36,133.6,329.55,137.44,48.45,110.28,141.37,54.08,244.3,238.11,156.33,67.34,153.99,137.59,58.85,214.37,162.33,85.83,179.9,100.54,38.17,126.81,136.78,295.73,202.81,59.13,52.98,116.81,62.73,
2020/2/6,81.3,133.25,341.43,137.25,48.69,109.49,142.7,53.81,241.82,238.84,156.76,67.09,153.53,137.61,58.99,212.87,162.89,85.68,183.63,100.27,38.26,127.14,136.5,292.46,203.04,59.44,53.49,116.31,61.88,
2020/2/7,80.01,131.82,336.75,133.37,47.97,108.94,141.02,52.55,238,237.3,153.41,66.02,151.89,137.17,59.19,211.61,160.08,85.08,183.89,99.44,38.05,126.08,136.01,289.22,202.74,59.94,53.24,116.45,61.47,
2020/2/10,80.39,132.24,344.67,134.32,48.87,109.79,142.59,51.78,237.36,240.61,154.43,66.39,151.86,137.74,59.75,213.21,160.15,85.66,188.7,100.02,37.81,126.17,136.22,287.03,205.99,60.24,53.42,115.25,59.96,
2020/2/11,79.9,132.63,344.42,136.19,49.13,111.21,141.01,52.69,236.46,241.64,153.48,67.41,151.99,138,59.59,215.73,162.45,85.25,184.44,100.02,38.09,124.16,137.38,290.79,203.94,58.69,52.99,115.4,60.53,
2020/2/12,81.8,133.24,347.45,139.59,49.93,112.04,141.85,53.55,238.65,241.59,155.31,67.46,151.09,138,59.41,217.46,163.8,83.25,184.71,103,37.74,123.45,135.71,303.48,207.44,58.23,54.47,115.85,61.27,
2020/2/13,81.22,134.46,342.82,139.72,47.32,111.66,140.9,53.27,238.35,242.36,154.31,67.44,150.09,137.88,59.61,217.42,159.76,81.97,183.71,103.37,36.93,124.96,136.88,302.2,207.4,58.65,53.57,117.44,60.93,
2020/2/14,81.24,135.87,340.49,137.99,46.97,110.08,139.54,53.1,237.08,245.03,150.7,67.27,150.13,137.46,59.95,217.09,161.01,82.65,185.35,103.54,36.51,126.14,137.76,298.78,210.29,58.51,52.85,117.89,60.65,
2020/2/18,79.75,135.6,338.88,136.58,46.59,110.24,139.14,53.44,233.21,243.94,151.1,66.14,149.14,135.64,59.53,216.15,158.88,82.46,187.23,102,36.32,124.87,135.88,302.14,211.2,57.91,51.86,119.63,59.88,
2020/2/19,80.91,136.93,338.3,136.86,46.29,110.74,141.3,53.5,237.33,243.64,150.86,67.11,148.94,137.49,59.77,215.63,159.34,82,187.28,102.46,36.23,125.44,134.51,305.31,213.31,58.22,52.07,117.68,60.34,
2020/2/20,80.08,136.58,336.28,136.93,46.85,109.81,140.37,52.55,232.73,247.02,151.22,65.45,148.37,137.49,59.72,215.08,158.56,82.49,184.42,102.53,35.85,126.58,133.98,302.13,211.45,58.09,51.87,117.69,59.86,
2020/2/21,78.26,134.9,330.38,137.21,46.3,109.01,138.97,52.43,230.62,245.34,149.84,64.34,149.93,135.81,60.13,215.87,156.93,82.34,178.59,100.25,35.72,126.7,135.16,301.43,208.81,58.2,51.45,118.58,59.13,
2020/2/24,74.55,128.19,317.9,132.17,44,104.71,133.01,50.45,224.54,239.7,146.43,61.76,145.91,132.16,58.65,213.52,152.55,81.33,170.89,95.91,34.67,123.3,134.12,277.79,198.79,57.99,49.03,116.32,56.36,
2020/2/25,72.02,120.9,304.14,129,42.74,100.71,128.19,47.47,217.61,237.38,141.71,59.73,144.65,126.26,57.82,212.1,146.85,80.27,168.07,92.9,33.93,121.43,130.79,263.39,188.4,57.12,47.51,114.39,54.2,
2020/2/26,73.16,118.5,305.59,128.25,42.16,98.04,123.36,47.26,215.78,235.28,139.75,59.65,143.68,126.64,57.6,210.1,148.96,79.94,170.17,92,34.72,120.16,128.56,263,187.21,57.14,47.67,113.78,53.01,
2020/2/27,68.38,112.81,287.76,123.27,40.04,94.13,118.04,45.07,205.69,224.73,133.11,55.83,139.12,121.37,54.93,201,150.16,78.08,158.18,88.55,34.1,113.5,124.08,253.92,180.01,55.06,46.24,110.4,49.82,
2020/2/28,68.34,109.93,275.11,124.24,39.93,93.34,117.65,42.9,200.77,217.84,130.15,55.52,134.48,116.11,53.49,194.17,149.24,76.56,162.01,89.38,33.42,113.23,119.81,254.96,181.76,54.16,45.76,107.68,51.44,
